reference,candidate
The quick brown fox jumps over the lazy dog.,The quick brown fox jumps over the lazy dog.
The sun rises in the east.,The sun rises in the east.
We walked along the river path.,We walked along the river path.
Artificial intelligence is transforming the world.,Artificial intelligence is transforming the world.
A journey of a thousand miles begins with a single step.,A journey of a thousand miles begins with a single step.
The weather today is exceptionally clear and sunny.,The weather today is exceptionally clear and sunny.
She sells seashells by the seashore.,She sells seashells by the seashore.
"To be or not to be, that is the question.","To be or not to be, that is the question."
The mountains were covered in a thick blanket of snow.,The mountains were covered in a thick blanket of snow.
Coding is a valuable skill in the modern workforce.,Coding is a valuable skill in the modern workforce.
He decided to take a long walk in the park.,He decided to take a long walk in the park.
The library was filled with the smell of old books.,The library was filled with the smell of old books.
Water boils at one hundred degrees Celsius.,Water boils at one hundred degrees Celsius.
The cat sat on the mat staring at the window.,The cat sat on the mat staring at the window.
Music has the power to soothe the soul.,Music has the power to soothe the soul.
The stars twinkled brightly in the night sky.,The stars twinkled brightly in the night sky.
"Success is not final, failure is not fatal.","Success is not final, failure is not fatal."
They enjoyed a delicious meal at the new restaurant.,They enjoyed a delicious meal at the new restaurant.
Learning a new language opens up many opportunities.,Learning a new language opens up many opportunities.
"The garden was full of vibrant, blooming flowers.","The garden was full of vibrant, blooming flowers."
Hard work pays off in the long run.,Hard work pays off in the long run.
The ocean waves crashed gently against the shore.,The ocean waves crashed gently against the shore.
Time flies when you are having fun.,Time flies when you are having fun.
A picture is worth a thousand words.,A picture is worth a thousand words.
The city lights shimmered in the distance.,The city lights shimmered in the distance.
Honesty is the best policy in any situation.,Honesty is the best policy in any situation.
The coffee shop was bustling with activity.,The coffee shop was bustling with activity.
Practice makes perfect when learning an instrument.,Practice makes perfect when learning an instrument.
The children played happily in the playground.,The children played happily in the playground.
The moon reflects the light of the sun.,The moon reflects the light of the sun.
Technology continues to evolve at a rapid pace.,Technology continues to evolve at a rapid pace.
Kindness is a language everyone can understand.,Kindness is a language everyone can understand.
The airplane soared high above the clouds.,The airplane soared high above the clouds.
Reading books expands your knowledge and imagination.,Reading books expands your knowledge and imagination.
The athlete trained hard for the upcoming marathon.,The athlete trained hard for the upcoming marathon.
Innovation is the key to progress and growth.,Innovation is the key to progress and growth.
The forest was quiet and peaceful in the morning.,The forest was quiet and peaceful in the morning.
Laughter is the best medicine for a bad day.,Laughter is the best medicine for a bad day.
The bridge spans across the wide river.,The bridge spans across the wide river.
Consistency is vital for achieving your goals.,Consistency is vital for achieving your goals.
The artist painted a beautiful landscape.,The artist painted a beautiful landscape.
Knowledge is power in the information age.,Knowledge is power in the information age.
The chef prepared a gourmet meal for the guests.,The chef prepared a gourmet meal for the guests.
The clock ticked steadily on the wall.,The clock ticked steadily on the wall.
Diversity enriches our culture and society.,Diversity enriches our culture and society.
The rain provided much-needed relief for the plants.,The rain provided much-needed relief for the plants.
A healthy diet is essential for well-being.,A healthy diet is essential for well-being.
The sunset painted the sky in shades of orange.,The sunset painted the sky in shades of orange.
History provides lessons for the future.,History provides lessons for the future.
Patience is a virtue worth cultivating.,Patience is a virtue worth cultivating.
